exp_id,coherence,strength,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,36.12,0.21,1.04,0.99,1.12,36.12,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
1,1.0,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,35.97,0.22,1.11,1.05,1.21,35.97,100.0,0.0,0.0,0.0,0.0,3.7,0.032,0.0
2,1.0,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,38.67,0.47,2.37,2.02,2.94,38.67,100.0,0.0,0.0,0.0,0.0,3.7,0.042,0.001
3,0.3,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,58.75,2.1,10.57,8.64,13.52,58.75,100.0,0.0,0.0,0.0,0.0,3.7,0.061,0.002
4,0.3,0.6,80.0,-28.0,71.12,86.66,-42.4,-12.57,321.25,47.81,214.86,189.23,242.68,401.56,80.0,0.0,20.0,0.0,0.0,3.7,0.093,0.003
5,0.3,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
6,0.15,0.8,16.0,-12.0,10.1,24.42,-26.4,2.65,426.0,,221.91,,,2662.5,16.0,0.0,84.0,0.0,0.0,3.7,0.122,
7,0.15,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
8,0.15,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
9,0.1,0.8,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
10,0.1,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
11,0.1,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
12,0.08,0.8,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
13,0.08,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
14,0.08,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
15,0.05,0.8,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
16,0.05,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
17,0.05,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
18,0.03,0.8,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
19,0.03,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
20,0.03,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
21,0.01,0.8,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
22,0.01,0.6,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
23,0.01,0.4,0.0,0.0,0.0,3.7,-7.13,7.13,,,,,,,0.0,0.0,100.0,0.0,0.0,3.7,,
